asset_number,asset_description,manufacturer,model_number,serial_number,facility,department,purchase_date,install_date,support_end_date,operating_system,ip_address,mac_address,device_status,replacement_cost,risk_score
ASSET-000001,Dialysis,Fresenius,FRE-1409,CP-10433218,Elmore,Cardiac Care,2018-04-05,2018-04-19,2031-02-19,Windows 10,192.168.60.130,65:d6:70:e5:8e:03,Active,84031.36,59.23
ASSET-000002,Dehumidifiers,Carel,CAR-2674,TG-00133890,Meridian,Med/Surg,2016-06-28,2016-08-12,2031-12-15,Embedded Linux,192.168.76.213,b9:62:23:17:74:94,Loaner,428382.27,73.66
ASSET-000003,Dialysis,Nxstage,NXS-3664,PL-86379402,McCall,Emergency,2018-11-09,2019-02-07,2030-10-21,QNX,192.168.119.98,70:a6:1c:75:10:a1,Active,37763.36,59.13
ASSET-000004,Patient Monitors,Edan,EDA-9179,MM-42351161,Eagle,Recovery,2017-05-05,2017-06-06,2029-12-19,VxWorks,192.168.57.36,2e:18:38:4e:51:d8,Active,195459.82,65.96
ASSET-000005,Vital Signs Monitors,Philips,PHI-2876,TK-94078161,Wood River,Neuro,2019-11-11,2019-11-26,2027-03-15,QNX,,5b:36:98:65:4e:bf,Active,271992.62,87.79
ASSET-000006,Cardiac Devices,Abbott,ABB-9005,CH-95931034,Boise,ICU (Intensive Care),2020-05-08,2020-05-16,2027-10-03,Embedded Linux,,,Active,67251.45,66.6
ASSET-000007,Ultrasound,Sonosite,SON-7932,GJ-16475255,Magic Valley,Neuro,2018-12-10,2019-01-31,2030-08-17,Windows 11,192.168.87.6,75:70:03:24:1e:75,Active,20549.41,53.3
ASSET-000008,Dialysis,Baxter,BAX-4510,JT-19283276,Jerome,Imaging (Radiology),2022-04-26,2022-06-26,2028-02-22,Embedded Linux,192.168.222.187,32:1f:ce:ad:37:7f,Active,270461.45,51.4
ASSET-000009,Patient Monitors,Philips,PHI-8260,CG-35030564,Jerome,ICU (Intensive Care),2015-11-18,2015-11-20,2032-04-06,Embedded Linux,192.168.103.232,c2:01:c7:87:e8:92,Active,478872.23,79.95
ASSET-000010,Ventilators,Philips,PHI-5861,EH-95376724,Magic Valley,OR (Operating Room),2023-01-24,2023-03-06,2026-10-16,Custom OS,192.168.15.246,5f:23:22:78:ce:3d,Retired,286989.33,65.79
ASSET-000011,MRI,Canon,CAN-9565,HE-88496965,McCall,Cardiac Care,2018-11-23,2019-01-03,2027-07-05,Windows Server 2019,192.168.238.193,,Active,312473.83,85.63
ASSET-000012,Patient Monitors,Mortara,MOR-5345,CN-87101226,Nampa,Emergency,2016-04-12,2016-05-19,2027-09-23,Custom OS,192.168.3.171,,Active,333377.41,89.39
ASSET-000013,Lighting Systems,Surgical Care Industries,SUR-3546,TJ-69784801,Twin Falls,Cardiac Care,2018-12-11,2019-01-07,2031-09-16,Custom OS,192.168.163.109,,Active,170110.49,51.31
