work_order_id,asset_number,work_order_type,request_date,completion_date,technician_id,labor_hours,status
WO-00000001,ASSET-000001,Corrective,2026-07-20,2026-08-09,TECH-0027,32.08,Completed
WO-00000002,ASSET-000002,Corrective,2025-03-04,2025-03-29,TECH-0035,24.33,Completed
WO-00000003,ASSET-000002,Corrective,2024-08-12,2024-09-02,TECH-0004,33.2,Completed
WO-00000004,ASSET-000003,Recall,2024-01-06,2024-01-17,TECH-0027,26.93,Completed
WO-00000005,ASSET-000003,Preventive,2024-01-12,2024-01-26,TECH-0014,13.07,Completed
WO-00000006,ASSET-000003,Corrective,2024-12-17,2025-01-13,TECH-0029,26.42,Completed
WO-00000007,ASSET-000003,Recall,2026-03-18,2026-03-22,TECH-0036,23.27,Completed
WO-00000008,ASSET-000003,Inspection,2025-04-02,2025-04-14,TECH-0029,16.41,Completed
WO-00000009,ASSET-000003,Corrective,2024-11-21,,TECH-0034,7.77,Open
WO-00000010,ASSET-000003,Preventive,2025-09-12,2025-09-23,TECH-0025,20.06,Completed
WO-00000011,ASSET-000003,Corrective,2025-04-22,2025-04-30,TECH-0045,8.31,Completed
WO-00000012,ASSET-000003,Preventive,2025-06-02,2025-06-18,TECH-0004,11.06,Completed
WO-00000013,ASSET-000004,Corrective,2024-05-10,2024-05-17,TECH-0041,22.38,Completed
WO-00000014,ASSET-000004,Preventive,2026-08-03,2026-08-08,TECH-0019,16.95,Completed
WO-00000015,ASSET-000004,Preventive,2023-06-17,2023-07-05,TECH-0020,22.63,Completed
WO-00000016,ASSET-000004,Preventive,2023-05-10,2023-06-02,TECH-0002,37.74,Completed
WO-00000017,ASSET-000004,Corrective,2026-04-05,,TECH-0009,1.86,In Progress
WO-00000018,ASSET-000004,Preventive,2026-02-02,2026-02-05,TECH-0019,6.44,Completed
WO-00000019,ASSET-000004,Corrective,2025-11-25,2025-12-11,TECH-0025,36.57,Completed
WO-00000020,ASSET-000005,Corrective,2023-09-26,2023-10-08,TECH-0002,15.08,Completed
WO-00000021,ASSET-000005,Corrective,2024-02-15,2024-03-15,TECH-0010,14.32,Completed
WO-00000022,ASSET-000005,Recall,2023-06-10,2023-06-23,TECH-0030,2.26,Completed
WO-00000023,ASSET-000005,Corrective,2026-07-04,,TECH-0040,21.88,Open
WO-00000024,ASSET-000006,Corrective,2024-11-23,,TECH-0035,30.93,In Progress
WO-00000025,ASSET-000006,Corrective,2026-05-07,2026-05-16,TECH-0034,20.14,Completed
WO-00000026,ASSET-000006,Corrective,2024-04-07,,TECH-0008,4.26,In Progress
WO-00000027,ASSET-000006,Preventive,2025-12-05,2025-12-14,TECH-0013,35.67,Completed
WO-00000028,ASSET-000006,Corrective,2024-03-14,2024-04-11,TECH-0017,17.65,Completed
WO-00000029,ASSET-000006,Preventive,2026-12-02,2026-12-16,TECH-0014,27.47,Completed
WO-00000030,ASSET-000006,Preventive,2025-08-05,2025-08-10,TECH-0022,11.26,Completed
WO-00000031,ASSET-000006,Inspection,2025-05-22,2025-06-16,TECH-0017,11.61,Completed
WO-00000032,ASSET-000007,Preventive,2024-10-25,2024-10-31,TECH-0042,30.28,Completed
WO-00000033,ASSET-000007,Corrective,2025-08-27,,TECH-0019,12.9,Open
WO-00000034,ASSET-000007,Recall,2025-11-27,2025-12-11,TECH-0045,15.7,Completed
WO-00000035,ASSET-000007,Inspection,2025-03-26,2025-04-15,TECH-0007,11.22,Completed
WO-00000036,ASSET-000007,Corrective,2023-11-19,2023-12-06,TECH-0017,33.85,Completed
WO-00000037,ASSET-000007,Preventive,2026-06-04,,TECH-0016,9.29,In Progress
WO-00000038,ASSET-000007,Corrective,2025-04-17,,TECH-0031,22.41,Open
WO-00000039,ASSET-000007,Recall,2025-03-06,2025-03-10,TECH-0011,10.72,Completed
WO-00000040,ASSET-000007,Corrective,2024-11-01,2024-11-22,TECH-0029,7.86,Completed
WO-00000041,ASSET-000007,Corrective,2023-02-06,2023-02-11,TECH-0024,31.12,Completed
WO-00000042,ASSET-000008,Corrective,2023-09-06,2023-09-17,TECH-0004,13.48,Completed
WO-00000043,ASSET-000008,Recall,2025-05-12,,TECH-0001,7.26,Open
WO-00000044,ASSET-000008,Corrective,2026-03-27,2026-04-06,TECH-0045,33.04,Completed
